,wl,o2_10,o2_11,o2_12,o2_13,o2_14,o2_15,o2_16,o2_17,o2_18,o2_19,o2_20,o2_21,o2_22,o2_23,o2_24,o2_25,o3_10,o3_11,o3_12,o3_13,o3_14,o3_15,o3_16,o3_17,o3_18,o3_19,o3_20,o3_21,o3_22,o3_23,o3_24,o3_25,h2o_10,h2o_11,h2o_12,h2o_13,h2o_14,h2o_15,h2o_16,h2o_17,h2o_18,h2o_19,h2o_20,h2o_21,h2o_22,h2o_23,h2o_24,h2o_25,no2_10,no2_11,no2_12,no2_13,no2_14,no2_15,no2_16,no2_17,no2_18,no2_19,no2_20,no2_21,no2_22,no2_23,no2_24,no2_25
682,932.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6678841,0.6532952653295264,0.6395682,0.6265914,0.6142816,0.6025746999999999,0.5914195,0.5807730999999999,0.570599,0.5608654000000001,0.5515634,0.5426069,0.5340323,0.5257977,0.5178825,0.510268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
683,933.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7074474000000001,0.6915900691590069,0.6766659,0.6625376999999999,0.6490978649097864,0.6362613,0.6239603,0.6121403,0.600757,0.5897738589773859,0.5791839,0.5688924,0.5589462,0.5493037,0.5399482,0.5308649999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
684,934.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7074474000000001,0.6915900691590069,0.6766659,0.6625376999999999,0.6490978649097864,0.6362613,0.6239603,0.6121403,0.600757,0.5897738589773859,0.5791839,0.5688924,0.5589462,0.5493037,0.5399482,0.5308649999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
685,935.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6497864999999999,0.6349193634919362,0.6208861,0.6075925999999999,0.5949682,0.5829562,0.5715094000000001,0.5605872,0.5501533000000001,0.5401751540175154,0.5306436,0.5214698521469852,0.5126900512690051,0.5042605,0.49615940000000003,0.48836660000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
686,936.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6235076,0.6075863215172643,0.5926949592694959,0.5787176578717658,0.5655618565561856,0.5531506553150656,0.5414171541417153,0.5303031530303153,0.5197567519756752,0.5097316019463204,0.500205950020595,0.4910801491080149,0.4823812482381248,0.4740571474057148,0.4660793,0.4584216458421646,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
687,937.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6295630999999999,0.6122130612213061,0.5957962,0.5802065,0.5653635565363556,0.5512040551204055,0.5376757,0.5247341524734151,0.5123402,0.50045910009182,0.4890840489084049,0.4781125478112547,0.4675913467591346,0.4574717829887132,0.4477308,0.4383471753388701,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
688,938.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6295630999999999,0.6122130612213061,0.5957962,0.5802065,0.5653635565363556,0.5512040551204055,0.5376757,0.5247341524734151,0.5123402,0.50045910009182,0.4890840489084049,0.4781125478112547,0.4675913467591346,0.4574717829887132,0.4477308,0.4383471753388701,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
689,939.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7353484,0.7224176,0.7101725,0.6985017,0.6873240374648075,0.6765789000000001,0.6662204,0.6562133000000001,0.6465300646530064,0.6371483,0.6280691999999999,0.6192179,0.61064,0.6023042,0.5941995,0.5863161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
690,940.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8483427,0.8372695837269584,0.8267,0.8165919816591981,0.8069067806906779,0.7976100797610078,0.7886704000000001,0.7800593000000001,0.7717512,0.7637225763722576,0.7559692755969275,0.7484217748421774,0.7411128482225696,0.7340101734010173,0.7270994727099472,0.7203676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
691,941.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8114225,0.7983969798396979,0.7860832,0.774419,0.7633483763348375,0.7528202752820276,0.7427886742788674,0.7332118000000001,0.7240514724051472,0.7152731715273171,0.7068641999999999,0.698741439748288,0.6909337,0.6833994000000001,0.6761176676117667,0.6690691,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
