,wl,throughput,effratio
0,385.0,0.0691840828232842,0.17864918071908079
1,391.1111111111111,0.08337875931901806,0.17499697420059052
2,397.22222222222223,0.09694355775764002,0.17371609037186278
3,403.3333333333333,0.10988874189433556,0.16802383404601098
4,409.44444444444446,0.12222457548429057,0.15725789455214018
5,415.55555555555554,0.13396132228269053,0.15022441235286169
6,421.6666666666667,0.14510924604472122,0.14797968691857163
7,427.77777777777777,0.15567861052556814,0.1393924629675222
8,433.8888888888889,0.16567967948041712,0.13043401144746047
9,440.0,0.17512271666445373,0.121592538937711
10,446.1111111111111,0.18401798583286366,0.10696350179501148
11,452.22222222222223,0.19237575074083257,0.08956106045396568
12,458.3333333333333,0.2002062751435462,0.07134100988997182
13,464.44444444444446,0.2075198227961902,0.05253006357445003
14,470.55555555555554,0.2143266574539501,0.03236344817461043
15,476.66666666666663,0.2206370428720116,0.020703632514014046
16,482.77777777777777,0.22646124280556051,0.012730707813464682
17,488.8888888888889,0.2318095210097824,0.010702161827856736
18,495.0,0.23669214123986282,0.009475300286145707
19,501.1111111111111,0.2411193672509876,0.0
20,507.22222222222223,0.2451014627983424,0.0
21,513.3333333333333,0.2486486916371127,0.0
22,519.4444444444445,0.2517713175224844,0.0
23,525.5555555555555,0.254479604209643,0.0
24,531.6666666666666,0.25678381545377427,0.0
25,537.7777777777778,0.25869421501006384,0.0
26,543.8888888888889,0.26022106663369726,0.0
27,550.0,0.2613746340798604,0.0
28,556.1111111111111,0.2621651811037387,0.0
29,562.2222222222222,0.262602971460518,0.0
30,568.3333333333333,0.26269826890538384,0.0
31,574.4444444444445,0.26246133719352194,0.0
32,580.5555555555555,0.26190244008011804,0.0
33,586.6666666666666,0.2610318413203578,0.0
34,592.7777777777778,0.25985980466942665,0.0
35,598.8888888888889,0.2583965938825104,0.0
36,605.0,0.25665247271479485,0.0
37,611.1111111111111,0.25463770492146554,0.0
38,617.2222222222222,0.25236255425770815,0.0
39,623.3333333333333,0.24983728447870832,0.0
40,629.4444444444445,0.2470721593396516,0.0
41,635.5555555555555,0.2440774425957239,0.0
42,641.6666666666666,0.24086339800211076,0.0
43,647.7777777777778,0.2374402893139978,0.0
44,653.8888888888889,0.2338183802865707,0.0
45,660.0,0.23000793467501518,0.0
46,666.1111111111111,0.22601921623451698,0.0
47,672.2222222222222,0.2218624887202616,0.0
48,678.3333333333333,0.21754801588743472,0.0
49,684.4444444444443,0.2130860614912221,0.0
50,690.5555555555555,0.20848688928680925,0.0
51,696.6666666666666,0.20376076302938206,0.0
52,702.7777777777778,0.19891794647412592,0.0
53,708.8888888888889,0.19396870337622676,0.0
54,715.0,0.1889232974908701,0.0
55,721.1111111111111,0.1837919925732417,0.0
56,727.2222222222222,0.17858505237852706,0.0
57,733.3333333333333,0.173312740661912,0.0
58,739.4444444444443,0.16798532117858206,0.0
59,745.5555555555555,0.16261305768372286,0.0
60,751.6666666666666,0.15720621393252035,0.0
61,757.7777777777778,0.15177505368015987,0.0
62,763.8888888888889,0.14632984068182728,0.0
63,770.0,0.14088083869270823,0.0
64,776.1111111111111,0.13543831146798832,0.0
65,782.2222222222222,0.13001252276285322,0.0
66,788.3333333333333,0.12461373633248864,0.0
67,794.4444444444443,0.1192522159320802,0.0
68,800.5555555555555,0.11393822531681344,0.0
69,806.6666666666666,0.10868202824187431,0.0
70,812.7777777777778,0.10349388846244822,0.0
71,818.8888888888889,0.098384069733721,0.0
72,825.0,0.09336283581087827,0.0
73,831.1111111111111,0.08844045044910566,0.0
74,837.2222222222222,0.08362717740358885,0.0
75,843.3333333333333,0.07893328042951352,0.0
76,849.4444444444443,0.07436902328206527,0.0
77,855.5555555555555,0.06994466971642974,0.0
78,861.6666666666666,0.06567048348779274,0.0
79,867.7777777777778,0.061556728351339796,0.0
80,873.8888888888889,0.05761366806225668,0.0
81,880.0,0.05385156637572901,0.0
82,886.1111111111111,0.05028068704694244,0.0
83,892.2222222222222,0.04691129383108264,0.0
84,898.3333333333333,0.04375365048333528,0.0
85,904.4444444444445,0.04081802075888594,0.0
86,910.5555555555555,0.03811466841292041,0.0
87,916.6666666666666,0.03565385720062431,0.0
88,922.7777777777777,0.0334458508771833,0.0
89,928.8888888888888,0.031500913197783025,0.0
90,935.0,0.02982930791760915,0.0
91,941.1111111111111,0.02844129879184737,0.0
92,947.2222222222222,0.02734714957568332,0.0
93,953.3333333333333,0.026557124024302672,0.0
94,959.4444444444445,0.02608148589289107,0.0
95,965.5555555555555,0.025930498936634225,0.0
96,971.6666666666666,0.026114426910717765,0.0
97,977.7777777777777,0.026643533570327362,0.0
98,983.8888888888888,0.027528082670648674,0.0
99,990.0,0.0287783379668674,0.0
