#Y(X), créé par Plot Digitizer, 2.6.8
#Date: 12/10/20, 17:46:35
wl,spec_o2
301.486,-0.0862069,
383.227,0,
506.582,-0.172414,
628.450,-0.0862069,
694.586,-0.172414,
749.575,0,
766.667,1.12069,
783.758,2.75862,
800.849,3.70690,
829.087,3.87931,
852.866,3.70690,
886.306,3.10345,
913.800,2.84483,
940.552,2.50000,
962.845,1.81034,
982.909,1.12069,
997.771,0.603448,
