#spec_o2(wl), créé par Plot Digitizer, 2.6.8
#Date: 01/10/20, 13:45:04
# multiply flux by 1e-13
wl,spec_o2
301.921,-0.158175,
726.018,-0.537739,
745.598,-0.0143668,
760.529,1.45707,
773.593,2.71827,
787.582,3.34775,
802.501,3.87182,
820.211,3.86916,
842.582,3.97106,
862.154,3.75759,
883.588,3.43857,
905.016,2.59324,
924.580,1.74820,
944.143,0.797884,
963.712,0.373887,
985.149,0.265401,
996.334,0.263719,
